Subject Number,duration (sec),Condition,IV1_Norm Transgression,IV2_Question Type,DV_Selection of Normal Cause? (0=no;1=yes),DV_Selection of Abnormal Cause? (0=no;1=yes),DV_CAUSAL JUDGMENT (1=only normal;2=only abnormal;3=both),Check 1a: What was used by Alex? (1=AX200;2=BY33;3=I don't know),Check 1b: What was used by Benni? (1=AX200;2=BY33;3=I don't know),Correct Answer Fertilizercheck if 1a=1 & 1b=2 (1=yes;0=no),Check 2a: Was AX200 allowed? (1=yes;2=no;3=I don't know),Check 2b: Was BY33 allowed? (1=yes;2=no;3=I don't know),Correct Answer Normcheck if 2a=1 & 2b=2 (1=yes;0=no) ,Check 3a: percentage of effects if only AX200 present,Check 3b: percentage of effects if only BY33 present,Check 3c: percentage of effects if both AX200 and BY33 present,Correct Answer MNC-Check if 3a<3c & 3b<3c (1=yes;0=no),"Correct Answer to all Checks 1, 2 & 3  (1=yes;0=no)",Gender (1=male;2=female;3=not specified),Age (years)
3,206,1,0,1,1,1,3,1,2,1,1,2,1,0,20,100,1,1,2,29
45,204,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,33
60,395,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,34
78,171,1,0,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,20
99,346,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,46
113,163,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,52
136,299,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,39
140,419,1,0,1,0,1,2,1,2,1,1,2,1,0,0,30,1,1,2,35
171,265,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,51
181,205,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,32
199,237,1,0,1,1,1,3,1,2,1,1,2,1,0,0,50,1,1,1,34
217,403,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,28
243,151,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
250,177,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,32
257,390,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
