StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,MotionTiming_First Click,MotionTiming_Last Click,MotionTiming_Page Submit,MotionTiming_Click Count,MCB_1,MRB_1,BCheck1,BCheck1_DO,BCheck2,BCheck3,BaTiming_First Click,BaTiming_Last Click,BaTiming_Page Submit,BaTiming_Click Count,BCB_1,BRB_1,Check1,Check2,Feedback,BridgeTime_First Click,BridgeTime_Last Click,BridgeTime_Page Submit,BridgeTime_Click Count,TCB_1,TRB_1,TCheck1,TCheck1,Feedback,Gender,Gender_4_TEXT,Age,Eth,Race,Story,FL_22_DO,FL_28_DO,FL_36_DO,FL_40_DO,Motiondetectorblock_DO,Batteryblock_DO,Trainblock_DO
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,60,TRUE,1/23/2019 16:27,R_xgWnyo0RyTUt3Yl,,,,,,,anonymous,EN,Yes,0,0,5.363,0,71,69,Neither Billy nor Suzy,Billy|Suzy|Neither Billy nor Suzy|Both Billy and Suzy,2 or more,the fact there was 2,,,,,,,,,,,,,,,,,,,Male,,37,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,CNSB|MotionTiming,,
1/23/2019 16:25,1/23/2019 16:27,IP Address,,100,87,TRUE,1/23/2019 16:27,R_2t9fUSgVoPAcwXm,,,,,,,anonymous,EN,Yes,0,0,23.888,0,75,80,Billy,Both Billy and Suzy|Neither Billy nor Suzy|Billy|Suzy,2 or more,Billy wasn't supposed to go,,,,,,,,,,,,,,,,,,,Male,,26,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,CVSB|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,65,TRUE,1/23/2019 16:27,R_1F8kKR9s6EdbEh9,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,13.53,0,62,40,Suzy,Two,He was the one that ultimately did it.,,,,,,,,,,Female,,26,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaCVSB|BaTiming,
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,67,TRUE,1/23/2019 16:27,R_wOjTGwFWN9rxBoR,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,16.73,0,100,100,Billy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",He shouldn't have gone onto the bridge but he did causing it to collapse,Male,,50,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TCVSB|BridgeTime
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,87,TRUE,1/23/2019 16:27,R_20ux19o1XtedUuB,,,,,,,anonymous,EN,Yes,0,0,10.209,0,62,29,Both Billy and Suzy,Billy|Both Billy and Suzy|Neither Billy nor Suzy|Suzy,2 or more,more than 1 person was in the room and tripped the alarm,,,,,,,,,,,,,,,,,,,Male,,28,No,White,Motion,FL_23,MotionRelevant|MotionCause,,,CVSB|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,79,TRUE,1/23/2019 16:27,R_vDdo3nceSc0s1tT,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,3.74,0,79,60,Billy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",,Female,,30,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TDVBS|BridgeTime
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,80,TRUE,1/23/2019 16:27,R_2Xgti3UR4HO6LUx,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0.327,3.608,9.136,2,100,100,Both Billy and Suzy,Either train is heavy enough on its own to break the bridge.,"Both went at the same time, they didn't know it was because of both of them.",Male,,28,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TDNSB|BridgeTime
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,75,TRUE,1/23/2019 16:27,R_xGEcpj6vZs5seHf,,,,,,,anonymous,EN,Yes,1.306,1.306,1.497,1,60,58,Both Billy and Suzy,Both Billy and Suzy|Billy|Suzy|Neither Billy nor Suzy,1 or more,He was told not to come in but he did?,,,,,,,,,,,,,,,,,,,Male,,28,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DVSB|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,84,TRUE,1/23/2019 16:27,R_3Ld6t8rRzfpg1xI,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,12.364,0,91,100,Billy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.","Billy had a signal to stop, and he chose to ignore it.",Male,,29,No,Black or African American,Train,FL_26,,,TrainCause|TrainRelevance,,,TCVBS|BridgeTime
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,70,TRUE,1/23/2019 16:27,R_2dyExyre9qCG1Y2,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0.274,0.686,0.952,2,73,76,Billy,One,Nothing really did.,,,,,,,,,,Male,,29,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDVSB|BaTiming,
