StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Conform_time_First Click,Conform_time_Last Click,Conform_time_Page Submit,Conform_time_Click Count,ProfManip,LeverManip,control,altTime_First Click,altTime_Last Click,altTime_Page Submit,altTime_Click Count,AgentCause,ObjectCause,control1,control2,Sex,Age,Eth,Race,FL_36_DO,FL_38_DO,FL_42_DO,Manipulation_DO
1/31/2019 12:57,1/31/2019 12:59,IP Address,,100,109,TRUE,1/31/2019 12:59,R_1N1X3EcW3em68Vt,,,,,,,anonymous,EN,Yes,1.027,6.66,17.765,8,,If the lever had not produced a pencil then the student would have had the opportunity to try to get a pencil.  The professor would not have gotten the pencil.,,1.594,1.594,37.101,1,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,45,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 12:58,1/31/2019 12:59,IP Address,,100,95,TRUE,1/31/2019 12:59,R_1Qg8YHCt3Y2Npnu,,,,,,,anonymous,EN,Yes,17.96,28.445,29.942,2,If he had not taken a pencil the student could have gotten one. That would have made life less difficult for everyone.,,,1.371,1.371,28.863,1,Professor Smith,,The white lever,Professor Smith,Female,40,,Black or African American,Agentcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 12:59,IP Address,,100,111,TRUE,1/31/2019 12:59,R_240BfrQCfPP8kkd,,,,,,,anonymous,EN,Yes,0,0,48.928,0,,,"They pulled the red and black levers, getting the last two pencils. A student needed a pencil and couldn't get it. Also, the white lever is fucked up!",0.907,0.907,26.868,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,24,No,White,,,Agentcause,control|altTime
1/31/2019 12:58,1/31/2019 12:59,IP Address,,100,109,TRUE,1/31/2019 12:59,R_1liRhoLAqg4bOei,,,,,,,anonymous,EN,Yes,0,0,28.458,0,,"The machine could have already been out of pencils. Because of this, pulling the red lever would produce no pencils. Professor Smith and the admin assistant would have had to go without pencils in this case.",,5.635,5.635,40.824,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,29,No,More than one Race,,Agentcause,,LeverManip|altTime
1/31/2019 12:57,1/31/2019 13:00,IP Address,,100,165,TRUE,1/31/2019 13:00,R_3sEoFS0gRV7x2o1,,,,,,,anonymous,EN,Yes,0,0,47.951,0,,,There is  vending machine with three levers that dispense office supplies. One lever breaks but one day when it is used it actually functions. Men take two last pencils and girl needs a pencil the day of her test.,2.896,4.023,60.552,2,Professor Smith,,"The red lever,The white lever","Professor Smith,The administrative assisstant",Male,,,,,,Agentcause,control|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,128,TRUE,1/31/2019 13:00,R_27Hwgj8sjuWbU7D,,,,,,,anonymous,EN,Yes,0,0,40.094,0,There would have been more pencils available. ,,,7.999,14.136,36.392,5,Professor Smith,,"The red lever,The black lever,The white lever",The student,Male,25,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,150,TRUE,1/31/2019 13:00,R_3nw2zdAMeSsFOPi,,,,,,,anonymous,EN,Yes,0,0,47.381,0,,,The school has a vending machine and the final student was unable to get a pencil as the last two had previously been taken.,3.917,6.743,35.487,2,,The black lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,36,No,White,,,Objectcause,control|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,116,TRUE,1/31/2019 13:00,R_VHZ72d3D6ILFHPP,,,,,,,anonymous,EN,Yes,0,0,34.914,0,"If Professor Smith had a pencil on hand, he would not have needed to use the machine. If he had not taken a pencil, there  would have been one available for the student.",,,1.612,1.612,41.814,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,29,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,154,TRUE,1/31/2019 13:00,R_1FhtAYuZA8X9ZQy,,,,,,,anonymous,EN,Yes,0,0,21.479,0,,The red lever could have malfunctioned. Thus no pencil would be produced. ,,1.536,14.89,44.982,2,Professor Smith,,The red lever,Professor Smith,Male,36,No,White,,Agentcause,,LeverManip|altTime
1/31/2019 12:57,1/31/2019 13:00,IP Address,,100,199,TRUE,1/31/2019 13:00,R_qK55vdRVmwDHPPz,,,,,,,anonymous,EN,Yes,0,0,74.369,0,,"If the black lever had not been pulled at the same time, it would have produced one or the other. The red lever wouldn't have produced a pencil if the other lever had not been pulled. ",,6.237,9.315,54.253,2,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,35,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,174,TRUE,1/31/2019 13:00,R_1FwB92KvGZg6ERG,,,,,,,anonymous,EN,Yes,0,0,47.516,0,"Professor Smith could have brought his own pencils.  If I were working there, I would have my own supplies and leave the supplies to the students, who need them. ",,,12.987,12.987,53.439,1,,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,46,No,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,148,TRUE,1/31/2019 13:00,R_SVlmarkpk4lF7WN,,,,,,,anonymous,EN,Yes,7.674,40.134,41.34,10,,"If the red lever had not functioned properly, it might have only given a broken half pencil at first. in that scenario there would still be half a pencil left for the student.",,12.384,53.581,54.239,5,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,30,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 12:58,1/31/2019 13:00,IP Address,,100,157,TRUE,1/31/2019 13:00,R_2CDouvENds8Khb5,,,,,,,anonymous,EN,Yes,0,0,42.253,0,,,A new professer was hired and told they could take pencils from the vending machine when they needed to cause there was plenty. 2 professors went up at the same time and got a pencil then a student went up and there wasnt any left.,2.636,2.636,56.436,1,Professor Smith,,The red lever,"Professor Smith,The administrative assisstant",Female,28,No,White,,,Agentcause,control|altTime
1/31/2019 12:59,1/31/2019 13:00,IP Address,,100,112,TRUE,1/31/2019 13:00,R_10Hntfeh9OxEctV,,,,,,,anonymous,EN,Yes,3.671,25.22,29.53,24,Professor Smith should have controlled his animalistic ways and resisted taking a pencil. The vending machine would be fully functional if the foolish professor left it alone,,,0.851,0.851,50.941,1,,The red lever,The black lever,Professor Smith,Female,33,No,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:57,1/31/2019 13:01,IP Address,,100,209,TRUE,1/31/2019 13:01,R_2pY12zKFs51W3am,,,,,,,anonymous,EN,Yes,0,0,56.165,0,,"If the red level had not functioned, one of the earlier users would have had to use the white lever. Then an eraser and a broken pencil would appear. But it could also happen that someone could be alerted that it was empty, and then fill it back up. ",,20.602,20.602,91.197,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,67,No,White,,Agentcause,,LeverManip|altTime
1/31/2019 12:59,1/31/2019 13:01,IP Address,,100,129,TRUE,1/31/2019 13:01,R_dj1SDSeeaLv9GTv,,,,,,,anonymous,EN,Yes,0,0,34.747,0,,,A university set up a vending machine to dispense pencils and erasers. One of levers on the machine caused the pencils to break.,1.263,1.263,41.974,1,,The black lever,"The red lever,The black lever",Professor Smith,Male,,,,,,Objectcause,control|altTime
