ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,ProfManip,LeverManip,control,altTime_1,altTime_2,altTime_3,altTime_4,outcomeChange,Agent_cause_8,Object_cause_8,control1_1,control1_2,control1_3,control2_1,control2_2,control2_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BL-Manipulation,DO-BL-CausationQuestions,DO-Q-Conform,LocationLatitude,LocationLongitude,LocationAccuracy
R_3COfQbY9ruQpTxP,Default Response Set,Anonymous,,,,0,1/20/2017 11:37,1/20/2017 11:39,1,1,1,1,1,0,0,2.385,0,,The machine could have locked up. Or maybe even a piece of ood would just coe out. So many possibilities!,,7.774,7.774,35.019,1,18,0,100,1,,,1,,,1,25,2,,,,,,,,LeverManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_1OW9uzwSjAYeUF2,Default Response Set,Anonymous,,,,0,1/20/2017 11:37,1/20/2017 11:39,1,1,1,1,1,0,0,45.622,0,Professor Smith could have come prepared with their own pencil. This would have meant there would be one left for the student. ,,,1.626,9,26.402,3,18,50,0,1,1,,1,1,,2,23,2,,,,,1,,,ProfManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_3HohV9svlKe5aur,Default Response Set,Anonymous,,,,0,1/20/2017 11:37,1/20/2017 11:40,1,1,1,1,1,2.958,33.195,39.572,26,Professor smith students will not have any pencils.,,,2.946,28.22,41.628,9,18,100,0,1,1,,1,,,1,24,2,,,,,1,,,ProfManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_26eY8IljvCtYrZW,Default Response Set,Anonymous,,,,0,1/20/2017 11:37,1/20/2017 11:40,1,1,1,1,1,3.5,8.8,56.632,2,,,"There's a utensil dispenser which is usually always stocked with different levers to get supplies. Black and red levers produce a pencil, white produces an eraser. The white level malfunctions and also produces a pencil that breaks. /  / A faculty member and his assistance go to get a pencil and an eraser. They pull a black and a red lever. They got the last two pencils.",1.148,87.818,88.846,4,,0,0,1,1,,1,1,,1,29,2,,,,,1,,,control|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_1LORiVHJ7irbNE7,Default Response Set,Anonymous,,,,0,1/20/2017 11:38,1/20/2017 11:40,1,1,1,1,1,18.609,33.584,47.648,3,,The red lever could've have malfunctioned by not producing a pencil or breaking a pencil as it was coming down. This would've forced the professor to pull the black lever or to try the white lever. ,,0.964,0.964,44.187,1,17,38,0,1,1,,1,1,,1,27,2,,,,1,,,,LeverManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_1QfICXZ6mx7Xp4s,Default Response Set,Anonymous,,,,0,1/20/2017 11:38,1/20/2017 11:41,1,1,1,1,1,0,0,17.965,0,,The red lever could have been stuck. Or there could have been an electrical problem.,,1.008,1.008,55.415,1,16,1,97,,,1,1,,,1,29,2,,,,,1,,,LeverManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_2ahGSxkmfkBfL5I,Default Response Set,Anonymous,,,,0,1/20/2017 11:37,1/20/2017 11:42,1,1,1,1,1,7.432,20.654,26.773,3,,,"it was about a vending machine of office supplies that were bought. The vending machine only has pencils, but when it works incorrectly it gives out eraser and a pencil, but it destroys the pencil as it gives it to you. The professor and the administrative person both get the last two pencils. and a student needs a pencil to do the test, but there were no more pencils in the vending machine.",37.356,77.418,139.491,4,,70,0,1,1,,1,1,,2,59,2,,,,,1,,,control|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_3QSQKsJndPzwsyI,Default Response Set,Anonymous,,,,0,1/20/2017 11:38,1/20/2017 11:42,1,1,1,1,1,53.536,53.536,70.374,1,,"If the red lever had n ot produced a pencil the student would have been able to get one for his test, I think they should fix the white lever though, because that would solve the problem of pencils being wasted.",,19.687,72.654,74.335,3,18,0,0,1,1,1,1,1,,2,29,2,,,,,1,,,LeverManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_1EXX2pvevENYIPA,Default Response Set,Anonymous,,,,0,1/20/2017 11:37,1/20/2017 11:42,1,1,1,1,1,34.909,34.909,35.744,1,"He could brought his own pencil like a professional adult or he could have borrowed the pencil from the other professor. If he hadn't taken a pencil, then the student would have gotten one that she (?) needed and whatever problem occurred would not have happened.  / ",,,4.37,4.37,126.695,1,19,100,0,1,1,,1,1,,2,41,2,,,,,1,,,ProfManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
R_AECWlOdcSzlZA9b,Default Response Set,Anonymous,,,,0,1/20/2017 11:41,1/20/2017 11:42,1,1,1,1,1,0,0,20.534,0,If he didn't he wouldnt have gotten a pencil. He probably would not have liked that.,,,0.71,0.71,24.654,1,16,99,1,1,1,,1,1,,1,25,2,,,,,1,,,ProfManip|altTime|outcomeChange,Agent_cause|Object_cause,,,,
