ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,control,controlTime_1,controlTime_2,controlTime_3,controlTime_4,Object_cause_8,Agent_cause_8,control1_1,control1_2,control1_3,control2_1,control2_2,control2_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BL-CausationQuestions,DO-BL-Manipulation,DO-Q-Conform,LocationLatitude,LocationLongitude,LocationAccuracy
R_3ez6B2dOfhuFEAa,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:53,1,1,1,1,1,0,0,29.162,0,"This story was about a vending machine of pencils. The person was told not to use the vending machine, but apparently the vending machine malfunctions a majority of the time anyway.",4.856,4.856,28.579,1,50,9,1,,,1,,,1,21,2,,,,1,1,1,,Object_cause|Agent_cause,,,,,
R_3EsPxoEWAmubgPD,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:53,1,1,1,1,1,32.94,32.94,34.45,1,The white lever malfunctions often but the professor was not told about this.  A student needed pencils at the end and there were only 2 left,1.046,2.349,29.094,6,50,61,1,1,,1,1,,1,34,2,,1,,,,,,Object_cause|Agent_cause,,,,,
R_3LdK0qBrKwKeHS6,Default Response Set,Anonymous,,,,0,1/19/2017 19:52,1/19/2017 19:54,1,1,1,1,1,0,0,1.655,0,The story was very fascinating with much detail. I found myself enthralled in it. I did not know what the ending would be. ,0.841,0.841,24.398,1,0,0,,1,,,1,,2,55,2,,,,1,,,,Object_cause|Agent_cause,,,,,
R_8lf8N6uMbK20xrz,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:54,1,1,1,1,1,0,0,38.034,0,"There is a vending machine that has levers that release pencils or erasers. When someone pulls the white lever, they usually get a pencil and eraser because of a malfunction, but the only pencil always breaks. Pencils eventually run out in the machine.",3.799,3.799,61.598,1,25,26,1,1,1,1,1,,2,21,2,,,,,1,,,Object_cause|Agent_cause,,,,,
R_10oOrCucoGDiWyw,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:54,1,1,1,1,1,0,0,52.067,0,A department got a vending machine that dispenses pencils and erasers. However the white lever always malfunctions. Two employees take the last two pencils and a student is unable to get one for an exam,2.776,2.776,66.242,1,1,71,1,,,1,1,,2,40,2,,,,1,,,,Object_cause|Agent_cause,,,,,
R_C2F7VLkVMVHGHVn,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:54,1,1,1,1,1,1.092,114.166,115.161,15,"Machine with three levers, one for erasers and two for pencils. Teachers took the last two pencils and there were none left over for a student who needed it for a test.",1.27,32.789,53.811,3,6,5,1,1,,1,1,,1,24,2,,1,,,,,,Object_cause|Agent_cause,,,,,
R_1LOHOjuJ3SWEF4u,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:55,1,1,1,1,1,0,0,75.295,0,THERE IS A VENDING MACHINE INSTALLED THAT HAS ERASERS AND PENCILS. THE BLACK/RED LEVER GIVES YOU A PENCIL WHILE THE WHITE GIVES YOU AN ERASER. SOMETIMES THE WHITE LEVER MALFUNCTIONS AND YOU GET A BROKEN PENCIL INSTEAD. ONE DAY SOMEONE PULLS ON THE RED LEVEL AND SOMEONE ELSE ON THE BLACK AND THEY BOTH GET THE LAST PENCIL. THERE IS A STUDENT THAT NEEDS A PENCIL AND NOW THERE ARENT ANY. ,2.665,2.665,96.601,1,0,,1,1,,1,1,,2,28,1,,,,1,,,,Object_cause|Agent_cause,,,,,
R_2VR1Ii36brrIKZx,Default Response Set,Anonymous,,,,0,1/19/2017 19:51,1/19/2017 19:56,1,1,1,1,1,0,0,58.659,0,"At a school there is a vending machine that dispenses pencils and erasers. The black and red levers will put out pencils and they work fine. The white lever is the one that puts out erasers, but it malfunctions frequently and puts out a pencil (which breaks in half) as well as an eraser. The new teacher, Mr. Smith, and an associate teacher just got the last 2 pencils out of the vending machine, but a student desperately needed a pencil. Now there is none for the student, though.",2.399,2.399,147.862,1,0,0,1,1,,1,1,,2,40,2,,,,,1,,,Object_cause|Agent_cause,,,,,
R_1IREbFvQS8ID8pO,Default Response Set,Anonymous,,,,0,1/19/2017 19:52,1/19/2017 19:56,1,1,1,1,1,0,0,76.094,0,The professer took all the pencils. from the vending machine. A student now needs a pencil for a test,5.773,5.773,56.636,1,2,30,1,1,,1,1,,2,44,2,,,,,1,,,Object_cause|Agent_cause,,,,,
R_By5F2FzlAR5S5A5,Default Response Set,Anonymous,,,,0,1/19/2017 19:53,1/19/2017 19:56,1,1,1,1,1,0,0,105.618,0,"Professor smith and an assistance each wanted a pencil. One pulled the red lever, and the other pulled the black lever.  They each got a pencil.  Then the machine is out of pencils.",3.945,65.168,66.275,3,1,2,1,1,,1,1,,1,33,2,,,,,1,,,Object_cause|Agent_cause,,,,,
